"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"141";"18550";"53705";"2004JJ00";"      18";"      82";"      21";"      79"
"142";"18550";"53705";"2005JJ00";"      21";"      79";"      22";"      78"
"143";"18550";"53705";"2006JJ00";"      18";"      82";"      23";"      77"
"144";"18550";"53705";"2007JJ00";"      17";"      83";"      17";"      83"
"145";"18550";"53705";"2008JJ00";"      15";"      85";"      17";"      83"
"146";"18550";"53705";"2009JJ00";"      17";"      83";"      20";"      80"
"147";"18550";"53705";"2010XX00";"      15";"      85";"      24";"      76"
"148";"18550";"53705";"2010JJ00";"      20";"      80";"      18";"      82"
"149";"18550";"53705";"2012JJ00";"       .";"       .";"       .";"       ."
"150";"18550";"53850";"2003JJ00";"      19";"      81";"      18";"      82"
"151";"18550";"53850";"2004JJ00";"      22";"      78";"      21";"      79"
"152";"18550";"53850";"2005JJ00";"      20";"      80";"      19";"      81"
"153";"18550";"53850";"2006JJ00";"      19";"      81";"      22";"      78"
"154";"18550";"53850";"2007JJ00";"      22";"      78";"      18";"      82"
"155";"18550";"53850";"2008JJ00";"      17";"      83";"      16";"      84"
"156";"18550";"53850";"2009JJ00";"      17";"      83";"      21";"      79"
"157";"18550";"53850";"2010XX00";"      19";"      81";"      18";"      82"
"158";"18550";"53850";"2010JJ00";"      19";"      81";"      21";"      79"
"159";"18550";"53850";"2012JJ00";"       .";"       .";"       .";"       ."
"160";"18550";"15700";"2003JJ00";"      21";"      79";"      19";"      81"
"161";"18550";"15700";"2004JJ00";"      23";"      77";"      16";"      84"
"162";"18550";"15700";"2005JJ00";"      18";"      82";"      20";"      80"
"163";"18550";"15700";"2006JJ00";"      14";"      86";"      13";"      87"
"164";"18550";"15700";"2007JJ00";"      24";"      76";"      24";"      76"
"165";"18550";"15700";"2008JJ00";"      17";"      83";"      16";"      84"
"166";"18550";"15700";"2009JJ00";"      17";"      83";"      16";"      84"
"167";"18550";"15700";"2010XX00";"       .";"       .";"       .";"       ."
"168";"18550";"15700";"2010JJ00";"      27";"      73";"      26";"      74"
"169";"18550";"15700";"2012JJ00";"       .";"       .";"       .";"       ."
"170";"18550";"12600";"2003JJ00";"      14";"      86";"      16";"      84"
"171";"18550";"12600";"2004JJ00";"      14";"      86";"      14";"      86"
"172";"18550";"12600";"2005JJ00";"      13";"      87";"      15";"      85"
"173";"18550";"12600";"2006JJ00";"      12";"      88";"      14";"      86"
"174";"18550";"12600";"2007JJ00";"      14";"      86";"      15";"      85"
"175";"18550";"12600";"2008JJ00";"      11";"      89";"      14";"      86"
"176";"18550";"12600";"2009JJ00";"      12";"      88";"      13";"      87"
"177";"18550";"12600";"2010XX00";"      11";"      89";"      13";"      87"
"178";"18550";"12600";"2010JJ00";"      17";"      83";"      18";"      82"
"179";"18550";"12600";"2012JJ00";"      16";"      84";"      19";"      81"
"180";"18550";"12650";"2003JJ00";"      19";"      81";"      15";"      85"
"181";"18550";"12650";"2004JJ00";"      12";"      88";"      17";"      83"
"182";"18550";"12650";"2005JJ00";"      16";"      84";"      19";"      81"
"183";"18550";"12650";"2006JJ00";"      13";"      87";"      20";"      80"
"184";"18550";"12650";"2007JJ00";"      24";"      76";"      22";"      78"
"185";"18550";"12650";"2008JJ00";"      14";"      86";"      14";"      86"
"186";"18550";"12650";"2009JJ00";"      15";"      85";"      17";"      83"
"187";"18550";"12650";"2010XX00";"       .";"       .";"       .";"       ."
